package,old,new,delta
fsr,1.0.2,1.0.2.9000,*
base64enc,0.1-3,NA,*
bslib,0.5.0,NA,*
cachem,1.0.8,NA,*
class,7.3-22,7.3-22,
classInt,0.4-9,0.4-9,
cli,3.6.1,3.6.1,
colorspace,2.1-0,2.1-0,
commonmark,1.9.0,NA,*
crayon,1.5.2,NA,*
DBI,1.1.3,1.1.3,
digest,0.6.32,NA,*
dplyr,1.1.2,1.1.2,
e1071,1.7-13,1.7-13,
ellipsis,0.3.2,NA,*
fansi,1.0.4,1.0.4,
farver,2.1.1,2.1.1,
fastmap,1.1.1,NA,*
fontawesome,0.5.1,NA,*
fs,1.6.2,NA,*
FuzzyR,2.3.2,NA,*
generics,0.1.3,0.1.3,
ggplot2,3.4.2,3.4.2,
glue,1.6.2,1.6.2,
gtable,0.3.3,0.3.3,
htmltools,0.5.5,NA,*
httpuv,1.6.11,NA,*
isoband,0.2.7,0.2.7,
jquerylib,0.1.4,NA,*
jsonlite,1.8.7,NA,*
KernSmooth,2.23-21,2.23-21,
labeling,0.4.2,0.4.2,
later,1.3.1,NA,*
lattice,0.21-8,0.21-8,
lifecycle,1.0.3,1.0.3,
lwgeom,0.2-13,0.2-13,
magrittr,2.0.3,2.0.3,
MASS,7.3-60,7.3-60,
Matrix,1.5-4.1,1.5-4.1,
memoise,2.0.1,NA,*
mgcv,1.8-42,1.8-42,
mime,0.12,NA,*
munsell,0.5.0,0.5.0,
nlme,3.1-162,3.1-162,
pillar,1.9.0,1.9.0,
pkgconfig,2.0.3,2.0.3,
plyr,1.8.8,NA,*
promises,1.2.0.1,NA,*
proxy,0.4-27,0.4-27,
pso,1.0.4,1.0.4,
R6,2.5.1,2.5.1,
rappdirs,0.3.3,NA,*
RColorBrewer,1.1-3,1.1-3,
Rcpp,1.0.10,1.0.10,
rlang,1.1.1,1.1.1,
s2,1.1.4,1.1.4,
sass,0.4.6,NA,*
scales,1.2.1,1.2.1,
sf,1.0-13,1.0-13,
shiny,1.7.4,NA,*
sourcetools,0.1.7-1,NA,*
stringi,1.7.12,1.7.12,
stringr,1.5.0,1.5.0,
tibble,3.2.1,3.2.1,
tidyselect,1.2.0,1.2.0,
units,0.8-2,0.8-2,
utf8,1.2.3,1.2.3,
vctrs,0.6.3,0.6.3,
viridisLite,0.4.2,0.4.2,
withr,2.5.0,2.5.0,
wk,0.7.3,0.7.3,
xtable,1.8-4,NA,*
